date,dist_m,mov_s,note
2025-11-10,1800.27,562,
2025-11-10,1160.06,356,
2025-11-10,2521.02,817,
2025-11-11,10014.3,3262,
2025-11-14,5031.16,1219,
2025-11-14,5070.69,1483,
2025-11-16,5714.48,1843,
2025-11-17,2578.2,729,
2025-11-17,2529.43,775,
2025-11-18,8513.95,2588,
2025-11-20,5552.28,1504,
2025-11-22,14202.3,4536,
2025-11-23,5504,1577,
2025-11-24,2528.16,748,
2025-11-24,2529.03,740,
2025-11-25,9526.99,3036,
2025-11-26,5009.29,1636,
2025-11-29,16275,5625,
2025-12-02,4007.3,1172,
2025-12-02,6396.11,1912,
2025-12-03,5469.72,1595,
2025-12-07,5018.45,1441,
2025-12-08,2504.59,732,
2025-12-08,2507.4,756,
2025-12-09,10019.6,2927,HEEL_ANKLE_PAIN
2025-12-11,5403.83,1536,
2025-12-14,7017.11,2060,
2025-12-15,2526.5,742,
2025-12-15,2501.64,743,
2025-12-16,10023.7,3250,
2025-12-19,7168.52,1947,
2025-12-20,5607.63,1912,
2025-12-22,2502.23,748,
2025-12-22,2506.41,724,
2025-12-23,10006.7,2969,
2025-12-25,11021,3527,
2025-12-30,6252.78,1858,
2025-12-31,6006.46,1755,
2026-01-03,11065.2,4065,
2026-01-04,7095.52,2103,
2026-01-05,5048.54,1506,
2026-01-07,10009.2,2874,
2026-01-09,5014.32,1311,
2026-01-11,10034.3,3060,
2026-01-12,6002.13,1880,
2026-01-15,10028.3,2998,
2026-01-17,5703.55,1920,
2026-01-18,9307.76,2774,
2026-01-19,2504.57,817,
2026-01-19,2546.9,794,
2026-01-20,7504.13,2406,
2026-01-20,6006.06,1815,
2026-01-23,7322.12,2302,
2026-01-25,13137.4,3778,
2026-01-26,3013.18,889,
2026-01-26,3105.72,961,
2026-01-27,11502.7,3382,
2026-01-29,6141.72,1851,
2026-01-31,22007.5,6758,
2026-02-02,7280.79,2201,
2026-02-04,15501.7,4818,
2026-02-08,24013,7668,LONG24k
2026-02-09,7675.43,2208,
2026-02-10,7697.51,2533,
2026-02-10,8033.45,2395,
2026-02-14,2902.84,897,
2026-02-14,10349,2955,
2026-02-15,8450.23,2532,
2026-02-16,6814.01,2166,
2026-02-17,7657.2,2570,
2026-02-17,5612.45,1552,
2026-02-19,10018.6,3043,
2026-02-21,3005.96,926,
2026-02-21,3298.14,1074,
2026-02-22,10057.4,2782,
2026-02-24,7640.62,2520,
2026-02-24,6264.56,2107,
2026-02-25,7205.17,2017,
2026-02-28,22128.5,6366,THRESHOLD_3x15
2026-02-28,1660.43,625,
2026-03-03,8071.91,2903,
2026-03-03,7500.92,2173,
2026-03-04,5186.77,1455,
2026-03-04,5030.9,1442,
2026-03-05,15204.7,4972,
2026-03-15,10018.7,3038,
2026-03-16,7672.61,2249,
2026-03-17,7511.15,2055,
2026-03-19,7514.16,2447,
2026-03-21,3891.36,1118,
2026-03-21,10404.9,2956,
2026-03-23,7627.21,2200,
2026-03-24,7849.04,2759,
2026-03-24,6560.72,1892,
2026-03-26,6051.79,1714,
2026-03-28,12005.7,4048,
2026-03-29,2042.78,641,
2026-03-30,3008.96,888,
2026-03-30,6508.85,2291,
2026-03-31,8008.55,2813,
2026-03-31,6011.74,1686,
2026-04-02,6524.4,1686,
2026-04-03,10021.4,2805,
2026-04-05,13191.1,15028,HIKE_EXCLUDE
2026-04-05,11586.8,10940,HIKE_EXCLUDE
2026-04-07,6008.46,1856,
2026-04-08,10012.3,3045,
2026-04-10,6036.66,1833,
2026-04-12,20009.2,6519,
2026-04-13,3567.48,1033,
2026-04-13,5017.64,1500,
2026-04-14,8012.16,2785,
2026-04-14,10504.8,3096,
2026-04-17,6008.6,1840,
2026-04-18,15017.7,4643,
2026-04-20,7064.36,2083,
2026-04-20,3527.05,1156,
2026-04-21,8023.19,2503,
2026-04-22,13507.9,4046,SPLIT33k_pt1
2026-04-22,10003.8,2859,SPLIT33k_pt2
2026-04-22,10021.3,2973,SPLIT33k_pt3
2026-04-25,8008.16,3200,
2026-04-27,3843.86,1215,
2026-04-27,6607.97,2030,
2026-04-28,8136.19,2669,
2026-04-28,7015.88,2106,
2026-05-01,12015.1,3989,
2026-05-02,6014.59,2059,
2026-05-03,7017.32,2348,
2026-05-05,7032.38,1961,
2026-05-07,7532.8,2211,
2026-05-08,6028.26,1841,
2026-05-09,5612.39,1638,
2026-05-09,5024.21,1572,
2026-05-09,5091.85,2451,
2026-05-10,14096.2,3826,
2026-05-12,8005.1,2740,
2026-05-12,6016.61,1709,
2026-05-13,6021.97,1742,
2026-05-14,5719.02,1699,
2026-05-15,6513.25,1951,
2026-05-16,8015.63,2871,
2026-05-21,8038.07,2289,
2026-05-23,12004.2,3576,
2026-05-24,11311.3,4008,
2026-05-26,5193.31,1859,
2026-05-30,26634.5,13103,BACKYARD2026
2026-05-30,20081.2,9726,BACKYARD2026
2026-05-30,6789.6,3172,BACKYARD2026
2026-05-30,38842.8,18429,BACKYARD2026
2026-05-30,6769.1,3064,BACKYARD2026
2026-05-31,28361.1,14294,BACKYARD2026_DNF
2026-06-07,6020.65,1860,
2026-06-09,7502.64,2401,
2026-06-10,7579.79,2102,
2026-06-12,12526.6,3992,
2026-06-16,6007.96,1679,
2026-06-17,5532.26,1617,
2026-06-19,10003.1,3057,
2026-06-20,10025.7,3059,
2026-06-22,3043.9,1030,
2026-06-22,3024.67,975,
2026-06-24,8013.46,2688,
2026-06-25,8033.43,2446,
2026-06-26,6322.32,1908,
2026-06-28,15042.6,4688,
2026-06-29,3076.78,991,
2026-06-29,3028.96,925,
2026-07-01,6097.13,1791,
2026-07-02,5013.94,1440,
2026-07-04,6424.91,1873,
2026-07-04,7002.69,2003,
2026-07-05,10026.4,3100,
2026-07-08,2054.6,1792,WALK_EXCLUDE
2026-07-13,3204.23,1013,ANKLE_OF_GLASS
2026-07-17,5754.39,1678,
2026-07-19,6015.14,1917,
2026-07-22,4330.35,1403,
2026-07-24,5004.64,1478,
2026-07-27,7518.35,2275,
2026-08-01,8327.1,3455,
2026-08-06,3027.02,924,
2026-08-10,5508.1,1846,PAIN_FREE
2026-08-13,6024.77,2009,
2026-08-16,7531.11,2336,
2026-08-21,6020.01,1928,
2026-08-22,6004.11,2066,
2026-08-24,6006.4,1834,
2026-08-29,3205.06,1287,
2026-08-30,42867.7,13324,RACE_Sydney_marathon
2026-09-05,6013.09,5757,WALK_EXCLUDE
2026-09-10,10007.5,3355,
2026-09-14,5827.79,1831,
2026-09-16,7083.5,2665,
2026-09-18,6029.76,1940,
